DGUID,DAUID,PRUID,ERUID,leaf_tag,assignment
2021S051210010602,10010602,10,1010,avalon,nearest-seed-within-er
2021S051210010603,10010603,10,1010,avalon,nearest-seed-within-er
2021S051210010604,10010604,10,1010,avalon,nearest-seed-within-er
2021S051210010605,10010605,10,1010,avalon,nearest-seed-within-er
2021S051210010607,10010607,10,1010,avalon,nearest-seed-within-er
2021S051210010608,10010608,10,1010,avalon,nearest-seed-within-er
2021S051210010610,10010610,10,1010,avalon,nearest-seed-within-er
2021S051210010611,10010611,10,1010,avalon,nearest-seed-within-er
2021S051210010614,10010614,10,1010,avalon,nearest-seed-within-er
2021S051210010617,10010617,10,1010,avalon,nearest-seed-within-er
2021S051210010618,10010618,10,1010,avalon,nearest-seed-within-er
2021S051210010619,10010619,10,1010,avalon,nearest-seed-within-er
2021S051210010620,10010620,10,1010,avalon,nearest-seed-within-er
2021S051210010621,10010621,10,1010,avalon,nearest-seed-within-er
2021S051210010622,10010622,10,1010,avalon,nearest-seed-within-er
2021S051210010623,10010623,10,1010,avalon,nearest-seed-within-er
2021S051210010624,10010624,10,1010,avalon,nearest-seed-within-er
2021S051210010625,10010625,10,1010,avalon,nearest-seed-within-er
2021S051210010626,10010626,10,1010,avalon,nearest-seed-within-er
2021S051210010627,10010627,10,1010,avalon,nearest-seed-within-er
2021S051210010628,10010628,10,1010,avalon,nearest-seed-within-er
2021S051210010629,10010629,10,1010,avalon,nearest-seed-within-er
2021S051210010630,10010630,10,1010,avalon,nearest-seed-within-er
2021S051210010631,10010631,10,1010,avalon,nearest-seed-within-er
2021S051210010632,10010632,10,1010,avalon,nearest-seed-within-er
2021S051210010633,10010633,10,1010,avalon,nearest-seed-within-er
2021S051210010634,10010634,10,1010,avalon,nearest-seed-within-er
2021S051210010635,10010635,10,1010,avalon,nearest-seed-within-er
2021S051210010636,10010636,10,1010,avalon,nearest-seed-within-er
2021S051210010637,10010637,10,1010,avalon,nearest-seed-within-er
2021S051210010638,10010638,10,1010,avalon,nearest-seed-within-er
2021S051210010639,10010639,10,1010,avalon,nearest-seed-within-er
2021S051210010640,10010640,10,1010,avalon,nearest-seed-within-er
2021S051210010641,10010641,10,1010,avalon,nearest-seed-within-er
2021S051210010642,10010642,10,1010,avalon,nearest-seed-within-er
2021S051210010643,10010643,10,1010,avalon,nearest-seed-within-er
2021S051210010644,10010644,10,1010,avalon,nearest-seed-within-er
2021S051210010645,10010645,10,1010,avalon,nearest-seed-within-er
2021S051210010646,10010646,10,1010,avalon,nearest-seed-within-er
2021S051210010647,10010647,10,1010,avalon,nearest-seed-within-er
2021S051210010648,10010648,10,1010,avalon,nearest-seed-within-er
2021S051210010649,10010649,10,1010,avalon,nearest-seed-within-er
2021S051210010650,10010650,10,1010,avalon,nearest-seed-within-er
2021S051210010651,10010651,10,1010,avalon,nearest-seed-within-er
2021S051210010652,10010652,10,1010,avalon,nearest-seed-within-er
2021S051210010653,10010653,10,1010,avalon,nearest-seed-within-er
2021S051210010654,10010654,10,1010,avalon,nearest-seed-within-er
2021S051210010655,10010655,10,1010,avalon,nearest-seed-within-er
2021S051210010656,10010656,10,1010,avalon,nearest-seed-within-er
2021S051210010657,10010657,10,1010,avalon,nearest-seed-within-er
2021S051210010658,10010658,10,1010,avalon,nearest-seed-within-er
2021S051210010659,10010659,10,1010,avalon,nearest-seed-within-er
2021S051210010660,10010660,10,1010,avalon,nearest-seed-within-er
2021S051210010661,10010661,10,1010,avalon,nearest-seed-within-er
2021S051210010662,10010662,10,1010,avalon,nearest-seed-within-er
2021S051210010663,10010663,10,1010,avalon,nearest-seed-within-er
2021S051210010664,10010664,10,1010,avalon,nearest-seed-within-er
2021S051210010666,10010666,10,1010,avalon,nearest-seed-within-er
2021S051210010667,10010667,10,1010,avalon,nearest-seed-within-er
2021S051210010668,10010668,10,1010,avalon,nearest-seed-within-er
2021S051210010669,10010669,10,1010,avalon,nearest-seed-within-er
2021S051210010670,10010670,10,1010,avalon,nearest-seed-within-er
2021S051210010671,10010671,10,1010,avalon,nearest-seed-within-er
2021S051210010672,10010672,10,1010,avalon,nearest-seed-within-er
2021S051210010673,10010673,10,1010,avalon,nearest-seed-within-er
2021S051210010674,10010674,10,1010,avalon,nearest-seed-within-er
2021S051210010675,10010675,10,1010,avalon,nearest-seed-within-er
2021S051210010676,10010676,10,1010,avalon,nearest-seed-within-er
2021S051210010677,10010677,10,1010,avalon,nearest-seed-within-er
2021S051210010678,10010678,10,1010,avalon,nearest-seed-within-er
2021S051210010679,10010679,10,1010,avalon,nearest-seed-within-er
2021S051210010680,10010680,10,1010,avalon,nearest-seed-within-er
2021S051210010681,10010681,10,1010,avalon,nearest-seed-within-er
2021S051210010682,10010682,10,1010,avalon,nearest-seed-within-er
2021S051210010683,10010683,10,1010,avalon,nearest-seed-within-er
2021S051210010684,10010684,10,1010,avalon,nearest-seed-within-er
2021S051210010685,10010685,10,1010,avalon,nearest-seed-within-er
2021S051210010686,10010686,10,1010,avalon,nearest-seed-within-er
2021S051210010687,10010687,10,1010,avalon,nearest-seed-within-er
2021S051210010688,10010688,10,1010,avalon,nearest-seed-within-er
2021S051210010689,10010689,10,1010,avalon,nearest-seed-within-er
2021S051210010690,10010690,10,1010,avalon,nearest-seed-within-er
2021S051210010691,10010691,10,1010,avalon,nearest-seed-within-er
2021S051210010692,10010692,10,1010,avalon,nearest-seed-within-er
2021S051210010693,10010693,10,1010,avalon,nearest-seed-within-er
2021S051210010694,10010694,10,1010,avalon,nearest-seed-within-er
2021S051210010695,10010695,10,1010,avalon,nearest-seed-within-er
2021S051210010696,10010696,10,1010,avalon,nearest-seed-within-er
2021S051210010697,10010697,10,1010,avalon,nearest-seed-within-er
2021S051210010698,10010698,10,1010,avalon,nearest-seed-within-er
2021S051210010699,10010699,10,1010,avalon,nearest-seed-within-er
2021S051210010700,10010700,10,1010,avalon,nearest-seed-within-er
2021S051210010701,10010701,10,1010,avalon,nearest-seed-within-er
2021S051210010702,10010702,10,1010,avalon,nearest-seed-within-er
2021S051210010703,10010703,10,1010,avalon,nearest-seed-within-er
2021S051210010704,10010704,10,1010,avalon,nearest-seed-within-er
2021S051210010705,10010705,10,1010,avalon,nearest-seed-within-er
2021S051210010706,10010706,10,1010,avalon,nearest-seed-within-er
2021S051210010707,10010707,10,1010,avalon,nearest-seed-within-er
2021S051210010708,10010708,10,1010,avalon,nearest-seed-within-er
2021S051210010709,10010709,10,1010,avalon,nearest-seed-within-er
2021S051210010710,10010710,10,1010,avalon,nearest-seed-within-er
2021S051210010711,10010711,10,1010,avalon,nearest-seed-within-er
2021S051210010712,10010712,10,1010,avalon,nearest-seed-within-er
2021S051210010713,10010713,10,1010,avalon,nearest-seed-within-er
2021S051210010714,10010714,10,1010,avalon,nearest-seed-within-er
2021S051210010715,10010715,10,1010,avalon,nearest-seed-within-er
2021S051210010716,10010716,10,1010,avalon,nearest-seed-within-er
2021S051210010717,10010717,10,1010,avalon,nearest-seed-within-er
2021S051210010718,10010718,10,1010,avalon,nearest-seed-within-er
2021S051210010719,10010719,10,1010,avalon,nearest-seed-within-er
2021S051210010720,10010720,10,1010,avalon,nearest-seed-within-er
2021S051210010721,10010721,10,1010,avalon,nearest-seed-within-er
2021S051210010722,10010722,10,1010,avalon,nearest-seed-within-er
2021S051210010723,10010723,10,1010,avalon,nearest-seed-within-er
2021S051210010724,10010724,10,1010,avalon,nearest-seed-within-er
2021S051210010725,10010725,10,1010,avalon,nearest-seed-within-er
2021S051210010726,10010726,10,1010,avalon,nearest-seed-within-er
2021S051210010727,10010727,10,1010,avalon,nearest-seed-within-er
2021S051210010728,10010728,10,1010,avalon,nearest-seed-within-er
2021S051210010729,10010729,10,1010,avalon,nearest-seed-within-er
2021S051210010730,10010730,10,1010,avalon,nearest-seed-within-er
2021S051210010731,10010731,10,1010,avalon,nearest-seed-within-er
2021S051210010732,10010732,10,1010,avalon,nearest-seed-within-er
2021S051210010733,10010733,10,1010,avalon,nearest-seed-within-er
2021S051210010734,10010734,10,1010,avalon,nearest-seed-within-er
2021S051210010735,10010735,10,1010,avalon,nearest-seed-within-er
2021S051210010736,10010736,10,1010,avalon,nearest-seed-within-er
2021S051210010737,10010737,10,1010,avalon,nearest-seed-within-er
2021S051210010738,10010738,10,1010,avalon,nearest-seed-within-er
2021S051210010739,10010739,10,1010,avalon,nearest-seed-within-er
2021S051210010740,10010740,10,1010,avalon,nearest-seed-within-er
2021S051210010741,10010741,10,1010,avalon,nearest-seed-within-er
2021S051210010742,10010742,10,1010,avalon,nearest-seed-within-er
2021S051210010743,10010743,10,1010,avalon,nearest-seed-within-er
2021S051210010744,10010744,10,1010,avalon,nearest-seed-within-er
2021S051210010745,10010745,10,1010,avalon,nearest-seed-within-er
2021S051210010746,10010746,10,1010,avalon,nearest-seed-within-er
2021S051210010747,10010747,10,1010,avalon,nearest-seed-within-er
2021S051210010748,10010748,10,1010,avalon,nearest-seed-within-er
2021S051210010749,10010749,10,1010,avalon,nearest-seed-within-er
2021S051210010750,10010750,10,1010,avalon,nearest-seed-within-er
2021S051210010751,10010751,10,1010,avalon,nearest-seed-within-er
2021S051210010752,10010752,10,1010,avalon,nearest-seed-within-er
2021S051210010753,10010753,10,1010,avalon,nearest-seed-within-er
2021S051210010754,10010754,10,1010,avalon,nearest-seed-within-er
2021S051210010755,10010755,10,1010,avalon,nearest-seed-within-er
2021S051210010756,10010756,10,1010,avalon,nearest-seed-within-er
2021S051210010757,10010757,10,1010,avalon,nearest-seed-within-er
2021S051210010758,10010758,10,1010,avalon,nearest-seed-within-er
2021S051210010759,10010759,10,1010,avalon,nearest-seed-within-er
2021S051210010760,10010760,10,1010,avalon,nearest-seed-within-er
2021S051210010761,10010761,10,1010,avalon,nearest-seed-within-er
2021S051210010762,10010762,10,1010,avalon,nearest-seed-within-er
2021S051210010763,10010763,10,1010,avalon,nearest-seed-within-er
2021S051210010764,10010764,10,1010,avalon,nearest-seed-within-er
2021S051210010765,10010765,10,1010,avalon,nearest-seed-within-er
2021S051210010766,10010766,10,1010,avalon,nearest-seed-within-er
2021S051210010767,10010767,10,1010,avalon,nearest-seed-within-er
2021S051210010768,10010768,10,1010,avalon,nearest-seed-within-er
2021S051210010769,10010769,10,1010,avalon,nearest-seed-within-er
2021S051210010770,10010770,10,1010,avalon,nearest-seed-within-er
2021S051210010771,10010771,10,1010,avalon,nearest-seed-within-er
2021S051210010772,10010772,10,1010,avalon,nearest-seed-within-er
2021S051210010773,10010773,10,1010,avalon,seed-anchor
2021S051210010774,10010774,10,1010,avalon,nearest-seed-within-er
2021S051210010776,10010776,10,1010,avalon,nearest-seed-within-er
2021S051210010777,10010777,10,1010,avalon,nearest-seed-within-er
2021S051210010778,10010778,10,1010,avalon,nearest-seed-within-er
2021S051210010779,10010779,10,1010,avalon,nearest-seed-within-er
2021S051210010780,10010780,10,1010,avalon,nearest-seed-within-er
2021S051210010781,10010781,10,1010,avalon,nearest-seed-within-er
